Instrument,Anonymized Lot,4 digit Seq,Customer Lot,Failure Date,Type of Procedures,Remaining Uses,Experience of Surgeon who performed Last Surgery(in Years),Experience Level
INS-075,LOT234,0197,LOT234-0197,3/20/2025,Other Colorectal|Low Anterior Resection (LAR),4,19,H
INS-047,LOT235,0357,LOT235-0357,3/20/2025,Hysterectomy - Malignant|Other Urology|Hysterectomy - Malignant|Other Urology|Rectopexy|Other Colorectal,8,15,M
INS-051,LOT236,0023,LOT236-0023,3/24/2025,,0,,L
INS-024,LOT205,0168,LOT205-0168,3/27/2025,Other Colorectal,9,15,M
INS-032,LOT200,0290,LOT200-0290,3/28/2025,Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hemicolectomy - Right|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Other Colorectal|Hysterectomy - Benign|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy,3,9,M
INS-032,LOT200,0432,LOT200-0432,3/28/2025,Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy - Retroperitoneal Lateral|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,7,19,H
INS-076,LOT237,0010,LOT237-0010,3/28/2025,Other Colorectal|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Other Urology|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,1,11,M
INS-067,LOT209,0088,LOT209-0088,4/1/2025,Partial Nephrectomy|Hysterectomy - Malignant|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Inguinal Hernia - Bilateral|Partial Nephrectomy|Other Gynecology|Other Gynecology|Ventral Hernia TAPP|Hysterectomy - Benign,7,19,H
INS-068,LOT238,0287,LOT238-0287,4/1/2025,Hysterectomy - Malignant|Hysterectomy - Malignant|Other Gynecology|Hysterectomy - Benign|Rectopexy,11,19,H
INS-074,,0000,,4/2/2025,,0,,L
INS-074,LOT239,0392,LOT239-0392,4/2/2025,,0,,L
INS-059,LOT240,0342,LOT240-0342,4/7/2025,Partial Nephrectomy - Retroperitoneal Lateral|Prostatectomy - Radical w/ Lymphadenectomy|Other Gynecology|Partial Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Radical Cystectomy w/ Ileal Conduit|Prostatectomy - Radical w/ Lymphadenectomy,7,19,H
INS-051,,0000,,4/11/2025,,0,,L
INS-051,LOT241,0149,LOT241-0149,4/11/2025,,0,,L
INS-014,LOT242,0002,LOT242-0002,4/11/2025,,0,,L
INS-047,LOT180,0243,LOT180-0243,4/14/2025,Other Colorectal|Hysterectomy - Benign|Incisional Hernia IPOM|Hysterectomy - Benign|Other Colorectal|Other Colorectal|Sigmoid Colectomy|Hemicolectomy - Right|Hysterectomy - Malignant|Other Colorectal|Umbilical Hernia TAPP|Subtotal Colectomy|Lymphadenectomy,1,11,M
INS-057,LOT200,0029,LOT200-0029,4/14/2025,Other Gynecology|Cholecystectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Other Gynecology|Sigmoid Colectomy|Other Gynecology,3,9,M
INS-047,LOT243,0169,LOT243-0169,4/15/2025,Hemicolectomy - Right|Hemicolectomy - Right,12,15,M
INS-004,LOT244,0700,LOT244-0700,4/15/2025,Partial Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Other Urology|Hysterectomy - Malignant|Hysterectomy - Malignant|Hysterectomy - Malignant,6,15,M
INS-077,,0001,-1,4/15/2025,,0,,L
INS-077,LOT245,0000,,4/15/2025,,0,,L
INS-059,LOT240,0345,LOT240-0345,4/15/2025,Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Benign|Hysterectomy - Malignant,11,19,H
INS-078,,0259,-259,4/14/2025,,0,,L
INS-027,LOT246,0030,LOT246-0030,4/17/2025,,0,,L
INS-011,,0104,-104,4/16/2025,,0,,L
INS-059,LOT240,0346,LOT240-0346,4/17/2025,Prostatectomy - Radical w/ Lymphadenectomy|Other Urology|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy,11,19,H
INS-069,LOT247,0589,LOT247-0589,4/17/2025,Prostatectomy - Radical w/ Lymphadenectomy|Lymphadenectomy,8,15,M
INS-032,LOT214,0053,LOT214-0053,4/17/2025,Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Parastomal Hernia Repair|Other Urology|Other Urology|Partial Nephrectomy - Retroperitoneal Lateral|Prostatectomy - Radical w/ Lymphadenectomy|Other Urology|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,5,9,M
INS-067,LOT221,0393,LOT221-0393,4/17/2025,Other Urology|Partial Nephrectomy|Radical Cystectomy w/ Ileal Conduit|Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy,12,15,M
INS-066,LOT248,N/A,,4/17/2025,,0,,L
INS-051,LOT232,0352,LOT232-0352,3/28/2025,,0,,L
INS-067,LOT231,0430,LOT231-0430,4/23/2025,Low Anterior Resection (LAR)|Hysterectomy - Malignant|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Hysterectomy - Malignant|Incisional Hernia TAR,9,15,M
INS-067,LOT241,0377,LOT241-0377,5/5/2025,Ventral Hernia TAPP|Other Colorectal|Ureteral Reimplantation,15,15,M
INS-030,LOT249,0046,LOT249-0046,5/5/2025,Inguinal Hernia - Unilateral|Lysis of Adhesions - Isolated|Gastrectomy - Subtotal,1,11,M
INS-017,LOT003,0175,LOT003-0175,5/2/2025,,0,,L
INS-068,LOT223,0129,LOT223-0129,5/1/2025,Incisional Hernia TAPP|Inguinal Hernia - Bilateral|Incisional Hernia TAPP|Incisional Hernia TAPP|Ventral Hernia TAPP|Ventral Hernia TAPP|Inguinal Hernia - Unilateral|Ventral hernia eTEP|Incisional Hernia TAPP|Incisional Hernia TAR|Inguinal Hernia - Unilateral|Ventral Hernia TAPP|Ventral Hernia TAPP,2,19,H
INS-008,LOT098,0157,LOT098-0157,5/2/2025,Incisional Hernia TAPP|Mitral Valve Repair,9,15,M
INS-001,,0318,-318,5/2/2025,,0,,L
INS-001,LOT169,0316,LOT169-0316,5/2/2025,Cholecystectomy|Prostatectomy - Radical w/ Lymphadenectomy|Nephrectomy|Partial Nephrectomy|Cholecystectomy|Cholecystectomy|Inguinal Hernia - Unilateral|Cholecystectomy|Incisional Hernia TAPP|Cholecystectomy,8,15,M
INS-047,LOT188,0209,LOT188-0209,5/8/2025,,0,,L
INS-039,LOT250,0019,LOT250-0019,5/8/2025,Prostatectomy - Radical Extraperitoneal w/o Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/o Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/o Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Tongue Base Resection - Malignant|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/o Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy,12,15,M
INS-032,LOT251,0291,LOT251-0291,5/8/2025,Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,13,19,H
INS-047,LOT252,0355,LOT252-0355,5/8/2025,Low Anterior Resection (LAR)|Rectopexy|Other General Surgery|Adrenalectomy|Other Gynecology|Sigmoid Colectomy,8,15,M
INS-059,LOT253,0013,LOT253-0013,5/8/2025,Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy,7,19,H
INS-051,LOT254,0349,LOT254-0349,5/12/2025,,0,,L
INS-079,LOT255,0160,LOT255-0160,5/12/2025,Cholecystectomy|Cholecystectomy|Cholecystectomy|Cholecystectomy|Cholecystectomy|Pancreatectomy - Distal|Pancreatoduodenectomy,3,9,M
INS-027,LOT256,0033,LOT256-0033,5/14/2025,,0,,L
INS-057,LOT257,0130,LOT257-0130,5/19/2025,Rectopexy|Other Colorectal|Subtotal Colectomy|Rectopexy|Hysterectomy - Malignant|Other Colorectal|Other Urology|Other General Surgery,2,19,H
INS-059,LOT240,0335,LOT240-0335,5/19/2025,Prostatectomy - Radical w/ Lymphadenectomy|Other Urology|Hysterectomy - Malignant,11,19,H
INS-051,LOT258,0206,LOT258-0206,5/19/2025,,0,,L
INS-033,LOT259,0038,LOT259-0038,5/19/2025,,0,,L
INS-014,LOT260,0024,LOT260-0024,5/19/2025,,0,,L
INS-014,LOT260,0042,LOT260-0042,5/19/2025,,0,,L
INS-047,LOT261,0344,LOT261-0344,5/21/2025,Hysterectomy - Malignant|Endometriosis Resection|Other Urology|Sigmoid Colectomy|Other Gynecology|Other General Surgery|Endometriosis Resection|Hysterectomy - Malignant|Other Urology|Hysterectomy - Malignant|Hysterectomy - Malignant,3,9,M
INS-078,LOT262,0461,LOT262-0461,5/23/2025,Incisional Hernia TAPP|Inguinal Hernia - Unilateral|Ventral hernia TAR,12,15,M
INS-078,,0089,-89,5/23/2025,,0,,L
INS-032,LOT231,0425,LOT231-0425,5/27/2025,Total Colectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,12,15,M
INS-047,LOT263,0375,LOT263-0375,5/27/2025,Hysterectomy - Malignant|Other Colorectal|Endometriosis Resection|Total Colectomy,10,19,H
INS-076,LOT264,0014,LOT264-0014,5/27/2025,Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Partial Nephrectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy,9,15,M
INS-074,LOT265,0419,LOT265-0419,5/29/2025,Hemicolectomy - Right,12,15,M
INS-059,LOT253,0004,LOT253-0004,6/2/2025,Other Gynecology|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant,1,11,M
INS-033,LOT266,0021,LOT266-0021,5/29/2025,,0,,L
INS-008,LOT098,0155,LOT098-0155,6/2/2025,Inguinal Hernia - Bilateral|Duodenal Switch|Incisional Hernia eTEP|Incisional Hernia TAPP|Pancreatoduodenectomy|Gastrectomy - Distal|Inguinal Hernia - Unilateral|Incisional Hernia TAPP|Inguinal Hernia - Unilateral,1,11,M
INS-033,LOT266,0014,LOT266-0014,6/4/2025,,0,,L
INS-067,LOT221,0392,LOT221-0392,6/5/2025,Cholecystectomy|Cholecystectomy|Cholecystectomy|Cholecystectomy|Cholecystectomy|Cholecystectomy|Cholecystectomy|Cholecystectomy - Pediatric|Cholecystectomy,9,15,M
INS-032,LOT224,0397,LOT224-0397,6/5/2025,Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Other Colorectal|Total Colectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy,1,11,M
INS-016,LOT267,0182,LOT267-0182,6/5/2025,Other General Surgery|Mitral Valve Repair|Cholecystectomy|Other Thoracic|Pancreatoduodenectomy,76,17,H
INS-080,,0000,,5/19/2025,,0,,L
INS-078,LOT268,0221,LOT268-0221,6/9/2025,Ventral Hernia TAPP|Other General Surgery|Gastrectomy - Subtotal|Appendectomy|Umbilical Hernia TAPP,10,19,H
INS-033,LOT269,0009,LOT269-0009,6/5/2025,,0,,L
INS-081,LOT270,0019,LOT270-0019,6/12/2025,Hysterectomy - Benign|Myomectomy,8,15,M
INS-081,LOT270,0182,LOT270-0182,6/12/2025,Myomectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,7,19,H
INS-081,LOT271,0139,LOT271-0139,6/12/2025,Hysterectomy - Malignant|Hysterectomy - Benign|Hysterectomy - Benign,7,19,H
INS-081,LOT270,0017,LOT270-0017,6/12/2025,Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Benign|Hysterectomy - Malignant|Myomectomy|Other Gynecology|Hysterectomy - Benign,4,19,H
INS-033,LOT272,0005,LOT272-0005,6/18/2025,,0,,L
INS-082,LOT273,0109,LOT273-0109,6/23/2025,Hemicolectomy - Right|Low Anterior Resection (LAR)|Gastrectomy - Subtotal,7,19,H
INS-069,LOT274,0195,LOT274-0195,6/23/2025,Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Nephrectomy,7,19,H
INS-032,LOT231,0426,LOT231-0426,6/23/2025,Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Incisional Hernia IPOM|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,6,15,M
INS-059,LOT253,0023,LOT253-0023,6/23/2025,Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Other Urology|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Other Gynecology|Other Urology,4,19,H
INS-047,LOT275,0152,LOT275-0152,6/30/2025,Hysterectomy - Malignant|Low Anterior Resection (LAR)|Hysterectomy - Malignant|Abdominoperineal Resection (APR)|Hysterectomy - Malignant|Hemicolectomy - Right|Low Anterior Resection (LAR),7,19,H
INS-022,LOT003,0130,LOT003-0130,6/30/2025,Hysterectomy - Malignant|Other Gynecology|Other Reconstuctive|Myomectomy|Myomectomy|Other Gynecology|Hysterectomy - Malignant|Sacrocolpopexy,2,19,H
INS-033,LOT272,0013,LOT272-0013,6/30/2025,,0,,L
INS-078,LOT268,0140,LOT268-0140,7/1/2025,Other Cardiac|Mitral Valve Repair|Mitral Valve Repair|Mitral Valve Repair|Mitral Valve Repair|Mitral Valve Repair,9,15,M
INS-078,LOT268,0139,LOT268-0139,7/1/2025,Mitral Valve Repair|Mitral Valve Repair|Mitral Valve Repair|Tricuspid Valve Repair,11,19,H
INS-078,LOT268,0126,LOT268-0126,7/1/2025,Mitral Valve Repair|Mitral Valve Repair|Mitral Valve Repair,12,15,M
INS-078,LOT268,0101,LOT268-0101,7/1/2025,Mitral Valve Replacement|Mitral Valve Repair|Mitral Valve Repair,12,15,M
INS-051,LOT276,0272,LOT276-0272,7/1/2025,,0,,L
INS-047,LOT275,0335,LOT275-0335,7/7/2025,Adrenalectomy|Hysterectomy - Malignant|Other Gynecology|Low Anterior Resection (LAR)|Low Anterior Resection (LAR)|Other Colorectal|Low Anterior Resection (LAR)|Other Urology|Other Urology,5,9,M
INS-069,LOT277,0216,LOT277-0216,7/7/2025,Hemicolectomy - Right|Partial Nephrectomy|Other Urology|Sigmoid Colectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,2,19,H
INS-059,LOT278,0489,LOT278-0489,7/7/2025,Hysterectomy - Benign|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Other Urology|Partial Nephrectomy,5,9,M
INS-059,LOT278,0470,LOT278-0470,7/7/2025,Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Other Gynecology|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/o Lymphadenectomy|Hysterectomy - Benign|Other Gynecology,7,19,H
INS-032,LOT279,0358,LOT279-0358,7/10/2025,Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,12,15,M
INS-057,LOT280,0218,LOT280-0218,7/10/2025,Other Urology|Low Anterior Resection (LAR)|Hemicolectomy - Right|Rectopexy|Other Colorectal|Parastomal Hernia Repair|Other Urology,3,9,M
INS-069,LOT277,0224,LOT277-0224,7/10/2025,Other Gynecology|Rectopexy|Prostatectomy - Radical w/ Lymphadenectomy|Radical Cystectomy w/ Ileal Conduit|Other Urology|Low Anterior Resection (LAR)|Salpingo-Oophorectomy|Low Anterior Resection (LAR),2,19,H
INS-059,LOT263,0075,LOT263-0075,7/14/2025,Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Hysterectomy - Malignant,12,15,M
INS-047,LOT275,0337,LOT275-0337,7/14/2025,Parastomal Hernia Repair|Rectopexy|Other Colorectal|Hysterectomy - Malignant|Endometriosis Resection|Hysterectomy - Malignant|Sigmoid Colectomy|Hysterectomy - Malignant|Other Colorectal,5,9,M
INS-068,LOT281,0422,LOT281-0422,7/10/2025,Ventral Hernia TAPP|Incisional Hernia TAR|Incisional Hernia IPOM|Incisional Hernia eTEP|Incisional Hernia IPOM|Inguinal Hernia - Bilateral|Incisional Hernia TAPP|Umbilical Hernia TAPP|Inguinal Hernia - Bilateral|Ventral hernia eTEP|Incisional Hernia TAR|Inguinal Hernia - Bilateral|Incisional Hernia TAPP|Inguinal Hernia - Bilateral,1,11,M
INS-004,LOT192,0409,LOT192-0409,7/11/2025,Mediastinal Mass Resection|Pulmonary Lobectomy|Pulmonary Segmentectomy|Pulmonary Lobectomy w/ Sleeve Resection|Pulmonary Wedge Resection|Other Thoracic|Mediastinal Mass Resection|Pulmonary Lobectomy,6,15,M
INS-013,LOT282,0017,LOT282-0017,7/14/2025,,0,,L
INS-008,LOT098,0123,LOT098-0123,7/17/2025,Partial Nephrectomy|Transanal Local Excision|Hemicolectomy - Right|Other Colorectal|Abdominoperineal Resection (APR)|Other Colorectal|Other Urology|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,1,11,M
INS-059,LOT263,0009,LOT263-0009,7/17/2025,Other Urology|Hysterectomy - Benign|Hysterectomy - Malignant|Parastomal Hernia Repair|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,7,19,H
INS-083,LOT283,0006,LOT283-0006,7/17/2025,Nodule Biopsy with EBUS Staging|Nodule Biopsy with EBUS Staging|Nodule Biopsy with EBUS Staging|Nodule Biopsy with EBUS Staging|Nodule Biopsy with EBUS Staging|Nodule Biopsy with EBUS Staging|Nodule Biopsy with EBUS Staging|Nodule Biopsy with EBUS Staging|Nodule Biopsy with EBUS Staging|Nodule Biopsy with EBUS Staging|Nodule Biopsy with EBUS Staging|Nodule Biopsy with EBUS Staging|Nodule Biopsy with EBUS Staging|Nodule Biopsy with EBUS Staging|Nodule Biopsy with EBUS Staging,1,11,M
INS-033,LOT284,0031,LOT284-0031,7/18/2025,,0,,L
INS-033,LOT285,0012,LOT285-0012,7/18/2025,,0,,L
INS-033,LOT286,0022,LOT286-0022,7/18/2025,,0,,L
INS-047,LOT287,0197,LOT287-0197,7/23/2025,Hysterectomy - Malignant|Endometriosis Resection|Other General Surgery|Other Colorectal|Hysterectomy - Benign|Adrenalectomy|Sigmoid Colectomy|Abdominoperineal Resection (APR)|Parastomal Hernia Repair|Hemicolectomy - Right|Liver Resection|Cholecystectomy|Sigmoid Colectomy,1,11,M
INS-071,LOT288,0311,LOT288-0311,7/23/2025,Low Anterior Resection (LAR),9,15,M
INS-047,LOT289,0358,LOT289-0358,7/23/2025,Hysterectomy - Malignant,13,19,H
INS-067,LOT290,0348,LOT290-0348,7/28/2025,Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy,16,15,M
INS-047,LOT291,0051,LOT291-0051,7/28/2025,Other Colorectal|Parastomal Hernia Repair|Parastomal Hernia Repair|Appendectomy|Adrenalectomy,9,15,M
INS-016,LOT292,0419,LOT292-0419,7/10/2025,Pancreatoduodenectomy|Cholecystectomy|Pancreatoduodenectomy|Cholecystectomy|Cholecystectomy|Pancreatoduodenectomy|Pancreatoduodenectomy|Cholecystectomy|Pancreatoduodenectomy,8,15,M
INS-083,,0014,-14,7/31/2025,,0,,L
INS-059,LOT263,0001,LOT263-0001,8/1/2025,Other Urology|Hysterectomy - Benign|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Endometriosis Resection|Hysterectomy - Benign|Other Urology,7,19,H
INS-069,LOT293,0692,LOT293-0692,8/1/2025,Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Cholecystectomy|Prostatectomy - Radical w/ Lymphadenectomy|Endometriosis Resection|Radical Cystectomy w/ Ileal Conduit|Sigmoid Colectomy|Sacrocolpopexy,2,19,H
INS-047,LOT294,0122,LOT294-0122,8/1/2025,,0,,L
INS-084,LOT295,0010,LOT295-0010,8/1/2025,Partial Nephrectomy|Other Colorectal|Partial Nephrectomy|Nipple Sparing Mastectomy - Malignant w/ Autologous Recon|Other General Surgery|Low Anterior Resection (LAR)|Partial Nephrectomy|Other Urology|Nipple Sparing Mastectomy - Malignant w/ Autologous Recon|Nipple Sparing Mastectomy - Malignant w/ Autologous Recon|Partial Nephrectomy|Low Anterior Resection (LAR),1,11,M
INS-059,LOT263,0012,LOT263-0012,8/1/2025,Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy - Retroperitoneal Lateral|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant,9,15,M
INS-059,LOT296,0249,LOT296-0249,8/1/2025,Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy,9,15,M
INS-085,LOT297,0006,LOT297-0006,8/1/2025,,0,,L
INS-083,LOT298,0014,LOT298-0014,8/1/2025,Nodule Biopsy with EBUS Staging|Nodule Biopsy with EBUS Staging,7,19,H
INS-065,LOT299,0175,LOT299-0175,8/4/2025,Hysterectomy - Malignant|Hysterectomy - Malignant|Other Gynecology|Hysterectomy - Malignant|Hysterectomy - Benign,5,9,M
INS-067,LOT231,0433,LOT231-0433,8/4/2025,Prostatectomy - Radical w/ Lymphadenectomy|Low Anterior Resection (LAR)|Nephrectomy|Hysterectomy - Malignant|Hysterectomy - Benign|Low Anterior Resection (LAR)|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Hysterectomy - Benign|Other Urology|Partial Nephrectomy|Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy|Nephrectomy,3,9,M
INS-005,LOT300,0349,LOT300-0349,8/7/2025,,0,,L
INS-047,LOT268,0225,LOT268-0225,8/7/2025,Inguinal Hernia - Unilateral|Inguinal Hernia - Unilateral|Ventral hernia TAR,11,19,H
INS-069,LOT301,0493,LOT301-0493,8/7/2025,Inguinal Hernia - Bilateral|Pancreatoduodenectomy|Incisional Hernia TAPP|Duodenal Switch|Cholecystectomy,5,9,M
INS-059,LOT296,0259,LOT296-0259,8/7/2025,Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,10,19,H
INS-059,LOT207,0257,LOT207-0257,8/7/2025,Ureteral Reimplantation - Pediatric|Hysterectomy - Benign|Prostatectomy - Radical w/ Lymphadenectomy|Other Gynecology|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Benign|Hysterectomy - Malignant|Other Urology|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,3,9,M
INS-074,,0000,,8/12/2025,,0,,L
INS-074,LOT302,0133,LOT302-0133,8/12/2025,,0,,L
